model,k_shots,num_classes,num_filters,num_conv_blocks,dataset,split,epoch,mix,accuracy
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4200,0,0.285200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4200,0,0.376877
ProtoNet,1,5,64,4,amazonreview_all_data,val,4200,0,0.230299
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4300,0,0.394000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4300,0,0.418738
ProtoNet,1,5,64,4,amazonreview_all_data,val,4300,0,0.244120
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4400,0,0.504400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4400,0,0.606246
ProtoNet,1,5,64,4,amazonreview_all_data,val,4400,0,0.351761
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4500,0,0.651600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4500,0,0.651429
ProtoNet,1,5,64,4,amazonreview_all_data,val,4500,0,0.381794
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4600,0,0.744000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4600,0,0.683588
ProtoNet,1,5,64,4,amazonreview_all_data,val,4600,0,0.382193
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4700,0,0.817600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4700,0,0.706977
ProtoNet,1,5,64,4,amazonreview_all_data,val,4700,0,0.406645
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4800,0,0.826000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4800,0,0.730764
ProtoNet,1,5,64,4,amazonreview_all_data,val,4800,0,0.420864
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4900,0,0.830400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4900,0,0.754286
ProtoNet,1,5,64,4,amazonreview_all_data,val,4900,0,0.420598
ProtoNet,1,5,64,4,amazonreview_all_data,Train,5000,0,0.861200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,5000,0,0.772757
ProtoNet,1,5,64,4,amazonreview_all_data,val,5000,0,0.405714
